관광지 이름,이미지 URL,링크
본태박물관,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/04/0bbf3619-d244-443c-b314-6c5e8ccfb8ed.JPG,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500250&menuId=DOM_000001718000000000#p9
제주러브랜드,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/6770dc8e-812e-4e92-a172-339507968c38.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500550&menuId=DOM_000001718000000000#p9
한담해변,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/04/3700342b-3a67-4879-b89b-805790ba1cad.JPG,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500682&menuId=DOM_000001718000000000#p9
도두봉,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202410/16/63992138-b676-48cb-bde4-60c7279af0a0.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500143&menuId=DOM_000001718000000000#p9
안덕계곡,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202410/17/bee4b88c-cdf6-41e1-b9fa-390036de6843.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500410&menuId=DOM_000001718000000000#p9
제주조천스위스마을,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/4a1cc499-0194-48ea-aec1-3788bb4ca53d.jpg,https://visitjeju.net/kr/detail/view?contentsid=CNTS_000000000021062&menuId=DOM_000001718000000000#p9
"군산(군산오름,코메오름)",https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/04/30844d88-66cc-4749-a0ba-34a8afd58c63.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500068&menuId=DOM_000001718000000000#p9
박물관은 살아있다,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/3b0d8581-7bfa-452b-8bff-83145155c38c.jpg,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500216&menuId=DOM_000001718000000000#p9
용연,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/28/256b5f0f-af80-45bb-9eab-1c124ba4bf37.gif,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500472&menuId=DOM_000001718000000000#p9
제주레일바이크,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/04/dbc89eb5-76d3-492c-b2ce-0d75eb36dd09.jpg,https://visitjeju.net/kr/detail/view?contentsid=CNTS_000000000020139&menuId=DOM_000001718000000000#p9
서우봉,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201807/09/44e6831f-d009-48bd-9ace-34375b775c44.JPG,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500335&menuId=DOM_000001718000000000#p9
성읍민속마을,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202409/06/c21dcb87-742f-443b-a0a6-08bf488eab6d.png,https://visitjeju.net/kr/detail/view?contentsid=CONT_000000000500351&menuId=DOM_000001718000000000#p10
한라산어리목코스,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/74d80134-7096-4e6a-866c-f45c683dc0c1.jpg,https://visitjeju.net/kr/detail/view?contentsid=CNTS_000000000020151&menuId=DOM_000001718000000000#p10
마노르블랑,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202410/08/e70792b1-c31b-4047-b3b7-1961a8715892.jpg,https://visitjeju.net/kr/detail/view?contentsid=CNTS_000000000022562&menuId=DOM_000001718000000000#p10
김경숙해바라기농장,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/05/2913670f-34fe-44db-a490-23e752043a9a.jpg,https://visitjeju.net/kr/detail/view?contentsid=CNTS_000000000018385&menuId=DOM_000001718000000000#p10
